"","lat","lon","name"
"1",22.2510972,114.1732155,"Hong Kong, Grantham Hospital"
"2",22.269896,114.124252,"Hong Kong, MacLehose Medical Rehabilitation Centre"
"3",22.270256,114.1313781,"Hong Kong, Queen Mary Hospital"
"4",22.2711318,114.1234441,"Hong Kong, The Duchess of Kent Children's Hospital at Sandy Bay"
"5",22.2861902,114.1453349,"Hong Kong, Tsan Yuk Hospital"
"6",22.2714702,114.1248484,"Hong Kong, Tung Wah Group of Hospitals Fung Yiu King Hospital"
"7",22.285173,114.146895,"Hong Kong, Tung Wah Hospital"
"8",22.2116366,114.1973981,"Hong Kong, Cheshire Home, Chung Hom Kok"
"9",22.2695993,114.2362653,"Hong Kong, Pamela Youde Nethersole Eastern Hospital"
"10",22.2758184,114.1753328,"Hong Kong, Ruttonjee Hospital"
"11",22.208049,114.031519,"Hong Kong, St. John Hospital"
"12",22.275315,114.177742,"Hong Kong, Tang Shiu Kin Hospital"
"13",22.274756,114.190279,"Hong Kong, Tung Wah Eastern Hospital"
"14",22.251085,114.175935,"Hong Kong, Wong Chuk Hang Hospital"
"15",22.3356331,114.1883828,"Hong Kong, Buddhist Hospital"
"16",22.3248943,114.1847052,"Hong Kong, Eye Hospital"
"17",22.3244984,114.1814762,"Hong Kong, Kowloon Hospital"
"18",22.3088961,114.1746325,"Hong Kong, Queen Elizabeth Hospital"
"20",22.3415122,114.1532651,"Hong Kong, Caritas Medical Centre"
"21",22.3433789,114.133443,"Hong Kong, Kwai Chung Hospital"
"22",22.3151014,114.172488,"Hong Kong, Kwong Wah Hospital"
"23",22.2820281,113.9392707,"Hong Kong, North Lantau Hospital"
"24",22.3455149,114.1966213,"Hong Kong, Our Lady of Maryknoll Hospital"
"25",22.3415435,114.1338324,"Hong Kong, Princess Margaret Hospital"
"26",22.3471637,114.1965549,"Hong Kong, TWGHs Wong Tai Sin Hospital"
"27",22.369713,114.1195962,"Hong Kong, Yan Chai Hospital"
"28",22.3185673,114.1796057,"Hong Kong, Kowloon East Cluster[edit]"
"29",22.31396,114.256268,"Hong Kong, Haven of Hope Hospital"
"30",22.3178963,114.2698832,"Hong Kong, Tseung Kwan O Hospital"
"31",22.323359,114.22703,"Hong Kong, United Christian Hospital"
"32",22.458671,114.174827,"Hong Kong, Alice Ho Miu Ling Nethersole Hospital"
"33",22.398505,114.215168,"Hong Kong, Bradbury Hospice"
"34",22.39905,114.216695,"Hong Kong, Cheshire Home, Shatin"
"35",22.4967185,114.124646,"Hong Kong, North District Hospital"
"36",22.378404,114.201222,"Hong Kong, Prince of Wales Hospital"
"37",22.398076,114.212764,"Hong Kong, Shatin Hospital"
"38",22.4612811,114.1747755,"Hong Kong, Tai Po Hospital"
"39",22.4097267,113.9735674,"Hong Kong, Castle Peak Hospital"
"40",22.4454026,114.0419062,"Hong Kong, Pok Oi Hospital"
"41",22.410061,113.974964,"Hong Kong, Siu Lam Hospital"
"42",22.4584632,113.9958452,"Hong Kong, Tin Shui Wai Hospital"
"43",22.4082312,113.9758602,"Hong Kong, Tuen Mun Hospital"
"44",22.2773172,114.1540219,"Hong Kong, Canossa Hospital"
"45",22.3252638,114.1868969,"Hong Kong, Evangel Hospital"
"46",22.2517313,114.1761775,"Hong Kong, Gleneagles Hong Kong Hospital"
"47",22.2636493,114.1842735,"Hong Kong, Adventist Hospital Ð Stubbs Road"
"48",22.3395799,114.180163,"Hong Kong, Baptist Hospital"
"49",22.2695604,114.1829627,"Hong Kong, Sanatorium & Hospital"
"50",22.259111,114.1493234,"Hong Kong, Matilda International Hospital"
"51",22.3338638,114.161678,"Hong Kong, Precious Blood Hospital"
"52",22.278486,114.1882155,"Hong Kong, St. Paul's Hospital"
"53",22.3262695,114.1848913,"Hong Kong, St. Teresa's Hospital"
"54",22.376621,114.104713,"Hong Kong, Adventist Hospital Ð Tsuen Wan"
"55",22.3604018,114.1754794,"Hong Kong, Union Hospital"
"56",22.306066,114.174085,"Hong Kong, People's Liberation Army Garrison Hospital"
"57",22.270256,114.1313781,"Hong Kong, Queen Mary Hospital"
"58",22.378404,114.201222,"Hong Kong, Prince of Wales Hospital"
"59",22.2517313,114.1761775,"Hong Kong, Gleneagles Hong Kong Hospital"
